ESTACION;MAGNITUD;ANO;MES;DIA;VALOR;FECHA
4;6;2018-;7;-24;0,3;2018-07-24
4;6;2018-;7;-25;0,3;2018-07-25
4;6;2018-;7;-26;0,3;2018-07-26
4;6;2018-;7;-27;0,3;2018-07-27
4;6;2018-;7;-28;0,3;2018-07-28
4;6;2018-;7;-29;0,2;2018-07-29
4;6;2018-;7;-30;0,3;2018-07-30
4;6;2018-;7;-31;0,3;2018-07-31
4;6;2018-;8;-01;0,5;2018-08-01
4;6;2018-;8;-02;0,4;2018-08-02
4;6;2018-;8;-03;0,4;2018-08-03
4;6;2018-;8;-04;0,3;2018-08-04
4;6;2018-;8;-05;0,3;2018-08-05
4;6;2018-;8;-06;0,4;2018-08-06
4;6;2018-;8;-07;0,3;2018-08-07
4;6;2018-;8;-08;0,3;2018-08-08
4;6;2018-;8;-09;0,2;2018-08-09
4;6;2018-;8;-10;0,3;2018-08-10
4;6;2018-;8;-11;0,3;2018-08-11
4;6;2018-;8;-12;0,3;2018-08-12
4;6;2018-;8;-13;0,3;2018-08-13
4;6;2018-;8;-14;0,2;2018-08-14
4;6;2018-;8;-15;0,2;2018-08-15
4;6;2018-;8;-16;0,3;2018-08-16
4;6;2018-;8;-17;0,3;2018-08-17
4;6;2018-;8;-18;0,2;2018-08-18
4;6;2018-;8;-19;0,3;2018-08-19
4;6;2018-;8;-20;0,3;2018-08-20
4;6;2018-;8;-21;0,4;2018-08-21
4;6;2018-;8;-22;0,3;2018-08-22
4;6;2018-;8;-23;0,3;2018-08-23
4;6;2018-;8;-24;0,4;2018-08-24
4;6;2018-;8;-25;0,3;2018-08-25
4;6;2018-;8;-26;0,3;2018-08-26
4;6;2018-;8;-27;0,5;2018-08-27
4;6;2018-;8;-28;0,4;2018-08-28
4;6;2018-;8;-29;0,4;2018-08-29
4;6;2018-;8;-30;0,3;2018-08-30
4;6;2018-;8;-31;0,3;2018-08-31
4;6;2018-;9;-01;0,4;2018-09-01
4;6;2018-;9;-02;0,3;2018-09-02
4;6;2018-;9;-03;0,3;2018-09-03
4;6;2018-;9;-04;0,4;2018-09-04
4;6;2018-;9;-05;0,3;2018-09-05
4;6;2018-;9;-06;0,3;2018-09-06
4;6;2018-;9;-07;0,3;2018-09-07
4;6;2018-;9;-08;0,3;2018-09-08
